Time	USDT_ETH / Free Float Supply (native units)
20171128	109970
20171129	109970
20171130	109970
20171201	109970
20171202	109970
20171203	109970
20171204	109970
20171205	109970
20171206	109970
20171207	109970
20171208	109970
20171209	109970
20171210	109970
20171211	109970
20171212	109970
20171213	109970
20171214	109970
20171215	109970
20171216	109970
20171217	109970
20171218	109970
20171219	109970
20171220	109970
20171221	109970
20171222	109970
20171223	109970
20171224	109970
20171225	109970
20171226	109970
20171227	109970
20171228	109970
20171229	109970
20171230	109970
20171231	109970
20180101	109970
20180102	109970
20180103	109970
20180104	109970
20180105	109970
20180106	109970
20180107	109970
20180108	109970
20180109	109970
20180110	30109970
20180111	30109970
20180112	30109970
20180113	30109970
20180114	30109970
20180115	30109970
20180116	30109970
20180117	30109970
20180118	30109970
20180119	30109970
20180120	30109970
20180121	30109970
20180122	30109970
20180123	30109970
20180124	30109970
20180125	30109970
20180126	30109970
20180127	30109970
20180128	60109970
20180129	60109970
20180130	60109970
20180131	60109970
20180201	60109970
20180202	60109970
20180203	60109970
20180204	60109970
20180205	60109970
20180206	60109970
20180207	60109970
20180208	60109970
20180209	60109970
20180210	60109970
20180211	60109970
20180212	60109970
20180213	60109970
20180214	60109970
20180215	60109970
20180216	60109970
20180217	60109970
20180218	60109970
20180219	60109970
20180220	60109970
20180221	60109970
20180222	60109970
20180223	60109970
20180224	60109970
20180225	60109970
20180226	60109970
20180227	60109970
20180228	60109970
20180301	60109970
20180302	60109970
20180303	60109970
20180304	60109970
20180305	60109970
20180306	60109970
20180307	60109970
20180308	60109970
20180309	60109970
20180310	60109970
20180311	60109970
20180312	60109970
20180313	60109970
20180314	60109970
20180315	60109970
20180316	60109970
20180317	60109970
20180318	60109970
20180319	60109970
20180320	60109970
20180321	60109970
20180322	60109970
20180323	60109970
20180324	60109970
20180325	60109970
20180326	60109970
20180327	60109970
20180328	60109970
20180329	60109970
20180330	60109970
20180331	60109970
20180401	60109970
20180402	60109970
20180403	60109970
20180404	60109970
20180405	60109970
20180406	60109970
20180407	60109970
20180408	60109970
20180409	60109970
20180410	60109970
20180411	60109970
20180412	60109970
20180413	60109970
20180414	60109970
20180415	60109970
20180416	60109970
20180417	60109970
20180418	60109970
20180419	60109970
20180420	60109970
20180421	60109970
20180422	60109970
20180423	60109970
20180424	60109970
20180425	60109970
20180426	60109970
20180427	60109970
20180428	60109970
20180429	60109970
20180430	60109970
20180501	60109970
20180502	60109970
20180503	60109970
20180504	60109970
20180505	60109970
20180506	60109970
20180507	60109970
20180508	60109970
20180509	60109970
20180510	60109970
20180511	60109970
20180512	60109970
20180513	60109970
20180514	60109970
20180515	60109970
20180516	60109970
20180517	60109970
20180518	60109970
20180519	60109970
20180520	60109970
20180521	60109970
20180522	60109970
20180523	60109970
20180524	60109970
20180525	60109970
20180526	60109970
20180527	60109970
20180528	60109970
20180529	60109970
20180530	60109970
20180531	60109970
20180601	60109970
20180602	60109970
20180603	60109970
20180604	60109970
20180605	60109970
20180606	60109970
20180607	60109970
20180608	60109970
20180609	60109502.1
20180610	60109502.1
20180611	60109502.1
20180612	60109502.1
20180613	60109502.1
20180614	60109502.1
20180615	60109502.1
20180616	60109502.1
20180617	60109502.1
20180618	60109502.1
20180619	60109502.1
20180620	60109502.1
20180621	60109502.1
20180622	60109502.1
20180623	60109502.1
20180624	60109502.1
20180625	60109502.1
20180626	60109502.1
20180627	60109502.1
20180628	60109502.1
20180629	60109502.1
20180630	60109502.1
20180701	60109502.1
20180702	60109502.1
20180703	60109502.1
20180704	60109502.1
20180705	60109502.1
20180706	60109502.1
20180707	60109502.1
20180708	60109502.1
20180709	60109502.1
20180710	60109502.1
20180711	60109502.1
20180712	60109502.1
20180713	60109502.1
20180714	60109502.1
20180715	60109502.1
20180716	60109502.1
20180717	60109502.1
20180718	60109502.1
20180719	60109502.1
20180720	60109502.1
20180721	60109502.1
20180722	60109502.1
20180723	60109502.1
20180724	60109502.1
20180725	60109502.1
20180726	60109502.1
20180727	60109502.1
20180728	30109502.1
20180729	30109502.1
20180730	15109502.1
20180731	15109502.1
20180801	15109502.1
20180802	15109502.1
20180803	15109502.1
20180804	15109502.1
20180805	15109502.1
20180806	15109502.1
20180807	15109502.1
20180808	15109502.1
20180809	15109502.1
20180810	15109502.1
20180811	15109502.1
20180812	15109502.1
20180813	15109502.1
20180814	15109502.1
20180815	15109502.1
20180816	15109502.1
20180817	15109502.1
20180818	15109502.1
20180819	15109502.1
20180820	15109502.1
20180821	15109502.1
20180822	15109502.1
20180823	15109502.1
20180824	15109502.1
20180825	15109502.1
20180826	15109502.1
20180827	15109502.1
20180828	15109502.1
20180829	15109502.1
20180830	15109502.1
20180831	15109502.1
20180901	15109502.1
20180902	15109502.1
20180903	15109502.1
20180904	15109502.1
20180905	25109502.1
20180906	25109502.1
20180907	25109502.1
20180908	25109502.1
20180909	25109502.1
20180910	25109502.1
20180911	25109502.1
20180912	25109502.1
20180913	25109502.1
20180914	25109502.1
20180915	25109502.1
20180916	25109502.1
20180917	25109502.1
20180918	25109502.1
20180919	25109502.1
20180920	25109502.1
20180921	25109502.1
20180922	25109502.1
20180923	25109502.1
20180924	25109502.1
20180925	25109502.1
20180926	25109502.1
20180927	25109502.1
20180928	25109502.1
20180929	25109502.1
20180930	25109502.1
20181001	25109502.1
20181002	25109502.1
20181003	35109502.1
20181004	35109502.1
20181005	35109502.1
20181006	35109502.1
20181007	35109502.1
20181008	35109502.1
20181009	35109502.1
20181010	35109502.1
20181011	35109502.1
20181012	35109502.1
20181013	35109502.1
20181014	35109502.1
20181015	35109502.1
20181016	35109502.1
20181017	35109502.1
20181018	35109502.1
20181019	35109502.1
20181020	35109502.1
20181021	35109502.1
20181022	35109502.1
20181023	35109502.1
20181024	35109502.1
20181025	35109502.1
20181026	35109502.1
20181027	35109502.1
20181028	35109502.1
20181029	35109502.1
20181030	35109502.1
20181031	35109502.1
20181101	25109502.1
20181102	25109502.1
20181103	25109502.1
20181104	25109502.1
20181105	25109502.1
20181106	25109502.1
20181107	25109502.1
20181108	25109502.1
20181109	25109502.1
20181110	25109502.1
20181111	25109502.1
20181112	25109502.1
20181113	25109502.1
20181114	25109502.1
20181115	25109502.1
20181116	25109502.1
20181117	25109502.1
20181118	25109502.1
20181119	25109502.1
20181120	25109502.1
20181121	25109502.1
20181122	25109502.1
20181123	25109502.1
20181124	25109502.1
20181125	25109502.1
20181126	25109502.1
20181127	25109502.1
20181128	25109502.1
20181129	25109502.1
20181130	25109502.1
20181201	25109502.1
20181202	25109502.1
20181203	25109502.1
20181204	25109502.1
20181205	25109502.1
20181206	25109502.1
20181207	25109502.1
20181208	25109502.1
20181209	25109502.1
20181210	25109502.1
20181211	25109502.1
20181212	25109502.1
20181213	25109502.1
20181214	25109502.1
20181215	25109502.1
20181216	25109502.1
20181217	25109502.1
20181218	25109502.1
20181219	25109502.1
20181220	25109502.1
20181221	25109502.1
20181222	25109502.1
20181223	25109502.1
20181224	25109502.1
20181225	25109502.1
20181226	25109502.1
20181227	25109502.1
20181228	25104324.04
20181229	25104324.04
20181230	25104324.04
20181231	25104324.04
20190101	25104324.04
20190102	25104324.04
20190103	25104324.04
20190104	25104324.04
20190105	25104324.04
20190106	25104324.04
20190107	25104324.04
20190108	25104324.04
20190109	25104324.04
20190110	25104324.04
20190111	25104324.04
20190112	25104324.04
20190113	25104324.04
20190114	25104324.04
20190115	25104324.04
20190116	25104324.04
20190117	25104324.04
20190118	25104324.04
20190119	25104324.04
20190120	25104324.04
20190121	25099574.04
20190122	25099574.04
20190123	25099574.04
20190124	25099574.04
20190125	25099574.04
20190126	25099574.04
20190127	25099574.04
20190128	25099574.04
20190129	25099574.04
20190130	25104324.04
20190131	25104324.04
20190201	25104324.04
20190202	25104324.04
20190203	25104324.04
20190204	25104324.04
20190205	25104324.04
20190206	25104324.04
20190207	25104324.04
20190208	25104324.04
20190209	25104324.04
20190210	25104324.04
20190211	25104324.04
